Wie lange folgst du der Tagesschau bereits auf Instagram?,Worauf achtest du beim Nachrichten-Content auf Instagram?,Journalistische Qualität / Vertrauenswürdige Nachrichten,Dass mich der Kanal immer über die aktuellen Nachrichten informiert,Dass Nachrichten spannend rübergebracht werden (Entertainment-Faktor),Ich kann mich schnell informieren,Man bekommt schneller Informationen als übers Fernsehen,Schaust du auch die 20-Uhr-Ausgabe der Tagesschau im TV?,"Motivieren dich die Instagram-Posts der Tagesschau, weitere Inhalte der ARD anzuschauen / dich zu einem Thema weiter zu informieren? (z.B. 20-Uhr-Nachrichten, Fernsehen, Funk..)","Wenn es keine journalistischen Nachrichten auf Social Media geben würde, würdest du dich dann außerhalb von Social Media informieren?",Was gefällt dir am Instagram-Kanal der Tagesschau?,Man bekommt immer die aktuellsten News,Seriöse Nachrichten auch auf Sociale Media,"Spezielle Formate (zum Beispiel Corona-Updates, oder Ukraine-Updates)",Nachrichten sind kurz und einfach in Infoposts formuliert,Welche Vorteile hat für dich die Tagesschau auf Instagram im Vergleich zur 20-Uhr-Ausgabe im TV?,Ich bin sowieso viel auf Instagram und muss nicht extra nach Nachrichten suchen,Die Nachrichten sind kurz (Ich kann mich viel schneller informieren),Nachrichten werden spannender rübergebracht,Wie genau verfolgst du den Instagram-Auftritt der Tagesschau?,Thema Kommentare:,Likest du die Beitrage?,Welche Formate gefallen dir?,Update am Morgen,"Themenbezogene Infoposts (Corona-Updates, Ukraine-Updates...)","Reels, die bestimmte Themen näher erklären","Storys mit Zuschauerfragen (z.B. ""Fragen an Christian Lindner"")",Wie alt bist du?,"Wenn du nicht gerade Tagesschau schaust, was machst du dann?",Welchem Geschlecht fühlst du dich zugehörig? 
1,,0,1,0,1,0,2,1,3,,1,0,0,0,,1,0,0,2,2,2,,1,0,0,0,1,3,1
1,,0,1,0,0,0,1,1,2,,1,0,0,0,,1,0,0,2,2,2,,1,0,0,0,1,1,2
1,,0,0,0,0,1,1,2,2,,1,0,0,0,,1,0,0,2,2,2,,1,0,0,0,1,3,2
1,,0,0,0,1,1,2,2,3,,1,0,0,0,,1,0,0,1,2,1,,1,0,0,0,1,3,3
1,,0,1,0,1,0,3,2,3,,1,0,0,0,,0,1,0,2,3,2,,1,0,0,0,1,3,1
1,,0,0,0,1,0,2,3,3,,1,0,0,0,,0,1,0,2,2,1,,1,0,0,0,1,3,2
1,,0,1,0,0,0,1,2,3,,1,0,0,0,,0,1,0,2,2,2,,1,0,0,0,1,3,2
1,,0,1,0,0,1,3,2,3,,1,1,0,0,,1,0,0,1,2,2,,1,0,0,0,1,3,2
1,,0,1,0,1,0,2,2,2,,1,1,0,0,,1,1,0,2,2,2,,1,0,0,0,1,2,2
1,,0,1,0,0,1,1,1,2,,1,0,0,1,,1,0,0,4,1,2,,1,0,0,0,1,3,2
1,,0,0,0,1,1,1,1,2,,1,0,0,1,,1,1,0,2,2,1,,1,0,0,0,1,3,1
1,,0,1,0,1,0,2,1,2,,1,0,0,1,,1,1,0,3,3,1,,1,0,0,0,1,99,1
1,,0,1,0,1,0,2,4,3,,0,1,0,0,,1,0,0,2,2,2,,1,0,0,0,1,3,1
1,,0,0,1,1,0,2,4,3,,0,1,0,0,,0,1,0,2,2,2,,1,0,0,0,1,3,1
1,,0,1,0,1,0,1,1,3,,0,1,0,0,,0,1,0,1,2,3,,1,0,0,0,1,3,1
1,,0,1,0,0,0,2,2,3,,0,1,0,1,,1,1,0,1,2,1,,1,0,0,0,1,3,1
1,,0,1,0,0,1,2,1,2,,0,1,0,1,,0,1,0,2,2,2,,1,0,0,0,1,2,1
1,,0,1,0,1,0,3,2,3,,0,1,0,1,,0,1,0,2,2,2,,1,0,0,0,1,3,2
1,,0,1,0,1,0,2,1,1,,0,1,0,1,,0,1,0,2,2,2,,1,0,0,0,1,3,2
1,,0,1,0,0,1,1,2,2,,0,0,1,1,,1,1,0,2,2,2,,1,0,0,0,1,3,1
1,,0,1,0,1,0,2,2,2,,0,0,1,1,,1,1,0,1,2,1,,1,0,0,0,1,3,2
1,,0,1,0,0,1,2,1,2,,0,0,0,1,,1,0,0,4,2,1,,1,0,0,0,1,3,1
1,,0,1,0,1,0,2,1,2,,0,0,0,1,,1,0,0,1,2,2,,1,0,0,0,1,2,2
1,,0,0,0,1,0,2,2,2,,0,0,0,1,,1,0,0,2,2,2,,1,0,0,0,1,3,2
1,,0,1,0,0,0,1,2,3,,0,0,0,1,,1,0,0,2,2,3,,1,0,0,0,1,3,2
1,,0,1,0,1,0,2,2,3,,0,0,0,1,,0,1,0,1,2,1,,1,0,0,0,1,3,1
1,,0,1,1,1,1,3,4,3,,0,0,0,1,,0,1,0,2,2,2,,1,0,0,0,1,3,2
1,,0,0,0,1,0,2,1,3,,0,0,0,1,,0,1,0,4,2,1,,1,0,0,0,1,3,3
1,,0,1,0,0,1,2,2,3,,1,1,1,1,,1,0,0,1,2,1,,1,0,0,0,1,3,1
